DI,DII,C1,C2,C3,C4,C5,C6,C6',C7,C7',C8,C9,yearMonth,,,,
44.4,1,102.7,84.9,99.6,88.1,117,1.7,1.7,-0.6,0.6,89824,0.7,19952,1.7,0.6,1,好景気
33.3,1,103.7,85.4,100,88.2,120.5,0.9,0.9,-1.3,1.3,89057,0.7,19953,0.9,1.3,1,好景気
88.9,1,105,86.2,103.1,89,123.2,0.3,0.3,-2.1,2.1,88806,0.7,19954,0.3,2.1,1,好景気
55.6,0,102.9,85.4,97.9,88.4,122.1,0.3,0.3,-0.3,0.3,88555,0.6,19955,0.3,0.3,0,不景気
22.2,1,103.2,85.7,99,87.7,121.1,0.4,0.4,-2.5,2.5,88304,0.6,19956,0.4,2.5,1,好景気
11.1,0,101.6,83.5,94.4,87,121.9,-1.8,1.8,-3.6,3.6,89454,0.6,19957,1.8,3.6,0,不景気
33.3,1,102.5,84.7,98.6,88.6,121.8,-0.7,0.7,-2.8,2.8,90603,0.6,19958,0.7,2.8,1,好景気
44.4,0,101.6,84.2,95.3,88,122.3,0.4,0.4,-3.3,3.3,91753,0.6,19959,0.4,3.3,0,不景気
100,1,102.9,84.5,94.6,87.1,124.5,-0.7,0.7,-2.8,2.8,92547,0.6,199510,0.7,2.8,1,好景気
61.1,1,103.7,85.1,96.9,88,126.2,0,0,-3,3,93342,0.6,199511,0,3,1,好景気
77.8,1,105,86.6,97.9,89,127.4,-0.5,0.5,-3.4,3.4,94136,0.6,199512,0.5,3.4,1,好景気
77.8,0,103.1,84.3,91.3,89.8,124.7,1.5,1.5,-0.6,0.6,94717,0.7,19961,1.5,0.6,0,不景気
66.7,1,103.3,84.2,99.3,92.1,124.3,3.7,3.7,0.3,0.3,95298,0.7,19962,3.7,0.3,1,好景気
55.6,0,103.1,84,97.1,94.2,128.3,1.2,1.2,-5.3,5.3,95879,0.7,19963,1.2,5.3,0,不景気
66.7,1,103.3,83.8,98.6,92.7,130.7,1,1,-1.4,1.4,97415,0.7,19964,1,1.4,1,好景気
66.7,1,104.1,84.5,99.2,93.4,131.2,0.9,0.9,-0.9,0.9,98950,0.7,19965,0.9,0.9,1,好景気
55.6,1,104.2,83.7,99.4,93.4,132.9,0.3,0.3,-6.1,6.1,100486,0.7,19966,0.3,6.1,1,好景気
66.7,1,105,84.5,102.3,94.5,132.7,-0.8,0.8,-2.2,2.2,98716,0.7,19967,0.8,2.2,1,好景気
66.7,1,105.5,85.3,100.1,95,134.4,-0.8,0.8,-5,5,96947,0.7,19968,0.8,5,1,好景気
88.9,1,106.6,85.7,104.1,95.2,135.4,0.4,0.4,-4,4,95177,0.7,19969,0.4,4,1,好景気
100,1,107,86.3,105.5,96.4,137,2,2,0.7,0.7,96410,0.7,199610,2,0.7,1,好景気
100,1,107.4,86.8,107.7,97.3,138,2.9,2.9,-1.4,1.4,97644,0.7,199611,2.9,1.4,1,好景気
100,1,108.4,88,108,96.8,136.6,0.6,0.6,0.1,0.1,98877,0.7,199612,0.6,0.1,1,好景気
88.9,1,109.8,89.2,114,95.3,141,2.1,2.1,2.6,2.6,102275,0.7,19971,2.1,2.6,1,好景気
83.3,1,110.1,89.3,107.9,97.6,140.6,1.9,1.9,-0.4,0.4,105673,0.7,19972,1.9,0.4,1,好景気
94.4,1,110.8,90.2,110.2,98.2,138.9,12.4,12.4,4.6,4.6,109071,0.7,19973,12.4,4.6,1,好景気
16.7,0,107.9,87.8,111.2,99.6,133.9,-3.8,3.8,-4.2,4.2,107386,0.7,19974,3.8,4.2,0,不景気
50,1,111,90.2,111.5,98.4,136.2,-1.3,1.3,-0.7,0.7,105702,0.7,19975,1.3,0.7,1,好景気
27.8,0,110.2,89.9,112.2,98.6,138.3,-2.1,2.1,0.7,0.7,104017,0.7,19976,2.1,0.7,0,不景気
72.2,1,110.9,90.4,111.5,98.6,136.7,-2.2,2.2,-0.6,0.6,101719,0.7,19977,2.2,0.6,1,好景気
33.3,0,110.3,90.4,110.4,97.2,139.7,-0.7,0.7,-0.8,0.8,99421,0.7,19978,0.7,0.8,0,不景気
0,0,109.4,89.8,110.5,96.8,135.4,-2.6,2.6,-0.1,0.1,97123,0.7,19979,2.6,0.1,0,不景気
11.1,0,108.6,89.6,108.7,95.8,134.9,-1.4,1.4,-1.5,1.5,94896,0.7,199710,1.4,1.5,0,不景気
0,0,107.2,88.1,104.5,95.6,133.3,-5.1,5.1,-6.6,6.6,92669,0.7,199711,5.1,6.6,0,不景気
0,0,106.2,87.7,106.8,94.2,131.3,-4.9,4.9,-4.4,4.4,90442,0.7,199712,4.9,4.4,0,不景気
11.1,1,107.7,87.5,107.7,93.4,135.5,-3.5,3.5,-4.8,4.8,86036,0.6,19981,3.5,4.8,1,好景気
22.2,0,105,86.2,105.5,91.7,131.9,-7.4,7.4,-6,6,81630,0.6,19982,7.4,6,0,不景気
0,0,102.8,84,101.4,89.8,130.3,-14.3,14.3,-8.6,8.6,77224,0.6,19983,14.3,8.6,0,不景気
11.1,0,102.2,84.5,103.5,89.2,129.5,-1.6,1.6,-5.2,5.2,75701,0.6,19984,1.6,5.2,0,不景気
11.1,0,101.3,84.6,103.2,88.6,127.1,-3.1,3.1,-8.2,8.2,74177,0.5,19985,3.1,8.2,0,不景気
44.4,1,101.4,84.2,102.8,88.4,124.3,-4.5,4.5,-5.6,5.6,72654,0.5,19986,4.5,5.6,1,好景気
